序号,卡牌,技能档,技能(名称：效果),解锁,可升级,升级货币,上限,Lv1,Lv2,Lv3,Lv4,Lv5,升级消耗(2/3/4/5级),说明
30,高射塔,传奇,急速射击(Rapid Fire)：攻击速度+50%,卡牌15级解锁,是,钻石(或看广告升级),最高5级,100%,130%,165%,204%,250%,120/240/480/960,强度%乘到该技能核心数值
31,采矿机,普通,金矿(Gold-Mine)：持续产出金币(产量随卡牌等级提升),出生即带,否,—,静态,—,—,—,—,—,—,—
32,重锤卫士,普通,破城(Siege)：对建筑伤害+30%,出生即带,否,—,静态,—,—,—,—,—,—,—
32,重锤卫士,普通,灭灵(Undead-Bane)：对亡灵单位伤害+20%,出生即带,否,—,静态,—,—,—,—,—,—,—
32,重锤卫士,稀有,尖刺护甲(Spiky Armor)：10%几率反射50%伤害,卡牌5级解锁,是,金币,最高5级,100%,114%,130%,145%,160%,5000/15000/40000/100000,强度%乘到该技能核心数值
32,重锤卫士,史诗,背水一战(Last Stand)：生命值低于30%时增加攻击力20%,卡牌10级解锁,是,钻石(或每日看广告升级1次),最高5级,100%,120%,140%,160%,185%,60/120/240/480,强度%乘到该技能核心数值
32,重锤卫士,传奇,旋风斩(Whirlwind)：每20秒旋转攻击周围敌人，造成范围伤害,卡牌15级解锁,是,钻石(或看广告升级),最高5级,100%,130%,165%,204%,250%,120/240/480/960,强度%乘到该技能核心数值
33,骷髅刀盾兵,普通,破城(Siege)：对建筑伤害+30%,出生即带,否,—,静态,—,—,—,—,—,—,—
33,骷髅刀盾兵,普通,慑魂(Dread)：对人类单位伤害+20%,出生即带,否,—,静态,—,—,—,—,—,—,—
33,骷髅刀盾兵,稀有,嗜血冲刺(Bloodrush)：击杀目标后增加100%移动速度,卡牌5级解锁,是,金币,最高5级,100%,114%,130%,145%,160%,5000/15000/40000/100000,强度%乘到该技能核心数值
33,骷髅刀盾兵,史诗,电击(Zap)：5%几率眩晕敌人1秒,卡牌10级解锁,是,钻石(或每日看广告升级1次),最高5级,100%,120%,140%,160%,185%,60/120/240/480,强度%乘到该技能核心数值
33,骷髅刀盾兵,传奇,尸爆(Corpse Explosion)：死亡时触发爆炸，造成范围伤害,卡牌15级解锁,是,钻石(或看广告升级),最高5级,100%,130%,165%,204%,250%,120/240/480/960,强度%乘到该技能核心数值
34,小野猪人,普通,破城(Siege)：对建筑伤害+30%,出生即带,否,—,静态,—,—,—,—,—,—,—
34,小野猪人,普通,灭灵(Undead-Bane)：对亡灵单位伤害+20%,出生即带,否,—,静态,—,—,—,—,—,—,—
34,小野猪人,稀有,嗜血冲刺(Bloodrush)：击杀目标后增加100%移动速度,卡牌5级解锁,是,金币,最高5级,100%,114%,130%,145%,160%,5000/15000/40000/100000,强度%乘到该技能核心数值
34,小野猪人,史诗,潜伏(Ambush)：布置后立刻隐身，解除后的首次攻击造成150%伤害,卡牌10级解锁,是,钻石(或每日看广告升级1次),最高5级,100%,120%,140%,160%,185%,60/120/240/480,强度%乘到该技能核心数值
34,小野猪人,传奇,死亡炸弹(Death Bomb)：死亡后留下炸弹，2秒后爆炸造成范围伤害,卡牌15级解锁,是,钻石(或看广告升级),最高5级,100%,130%,165%,204%,250%,120/240/480/960,强度%乘到该技能核心数值
35,长枪教头,普通,破城(Siege)：对建筑伤害+30%,出生即带,否,—,静态,—,—,—,—,—,—,—
35,长枪教头,普通,破械(Tech-Bane)：对机械单位伤害+20%,出生即带,否,—,静态,—,—,—,—,—,—,—
35,长枪教头,稀有,处决(Execute)：5%几率对目标当前生命值造成50%伤害,卡牌5级解锁,是,金币,最高5级,100%,114%,130%,145%,160%,5000/15000/40000/100000,强度%乘到该技能核心数值
35,长枪教头,史诗,猎杀标记(Hunter's Mark)：对孤立目标造成额外25%伤害,卡牌10级解锁,是,钻石(或每日看广告升级1次),最高5级,100%,120%,140%,160%,185%,60/120/240/480,强度%乘到该技能核心数值
35,长枪教头,传奇,巨力挥击(Mighty Swing)：第4次攻击转为范围攻击,卡牌15级解锁,是,钻石(或看广告升级),最高5级,100%,130%,165%,204%,250%,120/240/480/960,强度%乘到该技能核心数值
36,短剑士,普通,破城(Siege)：对建筑伤害+30%,出生即带,否,—,静态,—,—,—,—,—,—,—
36,短剑士,普通,破械(Tech-Bane)：对机械单位伤害+20%,出生即带,否,—,静态,—,—,—,—,—,—,—
36,短剑士,稀有,嗜血冲刺(Bloodrush)：击杀目标后增加100%移动速度,卡牌5级解锁,是,金币,最高5级,100%,114%,130%,145%,160%,5000/15000/40000/100000,强度%乘到该技能核心数值
36,短剑士,史诗,震波(Shockwave)：攻击对周围敌人造成10%溅射伤害,卡牌10级解锁,是,钻石(或每日看广告升级1次),最高5级,100%,120%,140%,160%,185%,60/120/240/480,强度%乘到该技能核心数值
36,短剑士,传奇,回春(Second Wind)：生命首次跌至50%以下时立刻恢复25%生命值,卡牌15级解锁,是,钻石(或看广告升级),最高5级,100%,130%,165%,204%,250%,120/240/480/960,强度%乘到该技能核心数值
37,火枪手,普通,防空(Flak)：对空中单位伤害+30%,出生即带,否,—,静态,—,—,—,—,—,—,—
37,火枪手,普通,慑魂(Dread)：对人类单位伤害+20%,出生即带,否,—,静态,—,—,—,—,—,—,—
37,火枪手,稀有,连击专注(Combo Focus)：连续攻击同一目标时每次命中+5%伤害,卡牌5级解锁,是,金币,最高5级,100%,114%,130%,145%,160%,5000/15000/40000/100000,强度%乘到该技能核心数值
37,火枪手,史诗,处决(Execute)：5%几率对目标当前生命值造成50%伤害,卡牌10级解锁,是,钻石(或每日看广告升级1次),最高5级,100%,120%,140%,160%,185%,60/120/240/480,强度%乘到该技能核心数值
37,火枪手,传奇,箭雨(Arrow Storm)：每20秒向目标发射数支箭,卡牌15级解锁,是,钻石(或看广告升级),最高5级,100%,130%,165%,204%,250%,120/240/480/960,强度%乘到该技能核心数值
